company_name,company_number,company_status,sic_codes,last_accounts_type,postal_code,date_of_creation,confidence,match_type,is_chain,chain_branch_count
CITY PLUMBING SUPPLIES HOLDINGS LTD,5108603,active,46740,micro-entity,SW1A 1AA,1996-07-16,63,core SIC + keyword,True,150
WOLSELEY UK LTD,2458591,active,46740,micro-entity,EC1A 1BB,2015-03-18,44,core SIC only,True,62
PLUMB CENTER LTD,2571945,active,46740,micro-entity,B1 1AA,1998-09-26,74,core SIC + keyword,True,25
GRAHAM PLUMBERS MERCHANT LTD,1445199,active,46740,micro-entity,M1 1AA,2015-06-01,83,core SIC + keyword,True,318
PLUMBASE LTD,8038374,active,46740,micro-entity,LS1 1AA,2000-01-18,88,core SIC + keyword,False,1
JOHNS PLUMBING SUPPLIES LTD,5667265,active,46740,micro-entity,L1 1AA,2015-05-03,92,core SIC + keyword,False,1
NORTHERN PLUMBING SUPPLIES LTD,3678638,active,46740,micro-entity,NE1 1AA,1988-11-30,84,core SIC + keyword,False,1
MILES PLUMBING SUPPLIES LTD,5661907,active,46740,micro-entity,BS1 1AA,1993-11-27,83,core SIC + keyword,False,1
TOTAL PLUMBING SUPPLIES LTD,6647119,active,46740,micro-entity,CF10 1AA,2018-04-01,90,core SIC + keyword,False,1
NATIONWIDE PLUMBING SUPPLIES LTD,2622631,active,46740,micro-entity,EH1 1AA,2020-08-21,74,core SIC + keyword,False,1
SOUTH WEST PLUMBING SUPPLIES LTD,5437923,active,46740,micro-entity,G1 1AA,2009-02-13,90,core SIC + keyword,False,1
MIDLAND PLUMBING SUPPLIES LTD,8707870,active,46740,micro-entity,BT1 1AA,1989-01-07,84,core SIC + keyword,False,1
ANGLO PLUMBING SUPPLIES LTD,2322047,active,46740,micro-entity,NG1 1AA,2001-03-03,75,core SIC + keyword,False,1
CROWN PLUMBING SUPPLIES LTD,7067228,active,46740,micro-entity,LE1 1AA,2000-06-17,89,core SIC + keyword,False,1
ATLANTIC PLUMBING SUPPLIES LTD,2166941,active,46740,micro-entity,DE1 1AA,1999-04-29,88,core SIC + keyword,False,1
JAMES HARGREAVES PLUMBING DEPOT LTD,5855124,active,46740,micro-entity,S1 1AA,2023-03-03,91,core SIC + keyword,False,1
KELLAWAY BUILDING SUPPLIES LTD,2694522,active,46740,micro-entity,BD1 1AA,2021-08-23,47,core SIC only,False,1
NEW QUAY PLUMBING SUPPLIES LTD,7120868,active,46740,micro-entity,HU1 1AA,2008-03-04,82,core SIC + keyword,False,1
ROBINSON QUAY PLUMBING LTD,4514944,active,46740,micro-entity,DN1 1AA,2017-12-05,82,core SIC + keyword,False,1
PIPESTOCK LTD,2197935,active,46740,micro-entity,WF1 1AA,1995-02-28,90,core SIC + keyword,False,1
GS KELLY PLUMBING MERCHANTS LTD,5107245,active,46740,micro-entity,SE1 1AA,1997-11-24,82,core SIC + keyword,False,1
BEGGS AND PARTNERS LTD,7366205,active,46740,micro-entity,N1 1AA,2017-11-22,54,core SIC only,False,1
HALDANE FISHER LTD,6440561,active,46740,micro-entity,E1 1AA,2013-02-11,47,core SIC only,False,1
J & A YOUNG PLUMBING LTD,1538552,active,46740,micro-entity,W1 1AA,1987-06-01,68,core SIC + keyword,False,1
DAVIS & BOWRING PLUMBING SUPPLIES LTD,5491946,active,46740,micro-entity,NW1 1AA,1989-02-10,82,core SIC + keyword,False,1
KINGS PLUMBING SUPPLIES LTD,6279418,active,46740,micro-entity,CR0 1AA,2022-04-03,84,core SIC + keyword,False,1
ATLAS PLUMBING & HEATING SUPPLIES LTD,8698256,active,46740,micro-entity,TW1 1AA,2015-09-08,87,core SIC + keyword,False,1
DELTA PLUMBING SUPPLIES LTD,5137722,active,46740,micro-entity,HA1 1AA,2018-10-25,72,core SIC + keyword,False,1
PHOENIX PLUMBING MERCHANTS LTD,8187926,active,46740,micro-entity,UB1 1AA,1991-10-22,91,core SIC + keyword,False,1
EAGLE PLUMBING SUPPLIES LTD,4679591,active,46740,micro-entity,KT1 1AA,1999-01-18,83,core SIC + keyword,False,1
PREMIER PLUMBING SUPPLIES LTD,1790481,active,46740,micro-entity,RG1 1AA,2019-01-07,77,core SIC + keyword,False,1
ELITE PLUMBING MERCHANTS LTD,3684052,active,46740,micro-entity,GU1 1AA,1986-08-06,67,core SIC + keyword,False,1
BRITISH GAS HEATING SOLUTIONS LTD,2065818,active,"46740,43220",micro-entity,PO1 1AA,1989-09-10,92,core SIC + keyword,False,1
VAILLANT GROUP UK LTD,8852574,active,"46740,43220",micro-entity,SO14 1AA,2007-12-18,52,core SIC only,False,1
BAXI HEATING UK LTD,1192619,active,"46740,43220",micro-entity,BN1 1AA,2001-06-27,85,core SIC + keyword,False,1
IDEAL HEATING LTD,5476583,active,"46740,43220",small,ME1 1AA,1994-09-16,84,core SIC + keyword,False,1
WORCESTER BOSCH GROUP LTD,2871534,active,"46740,43220",small,CT1 1AA,1990-09-30,50,core SIC only,False,1
